1231051,FISIKA,123
1231066,ILMU KESEHATAN MASYARAKAT,123
1311016,FISIKA,131
1311024,KIMIA,131
1311032,MATEMATIKA,131
1311047,BIOLOGI,131
1311055,MANAJEMEN SUMBERDAYA PERAIRAN,131
1311063,BUDIDAYA PERAIRAN,131
1311071,ILMU KELAUTAN,131
1311086,TEKNOLOGI HASIL PERIKANAN,131
1311094,PEMANFAATAN SUMBERDAYA PERIKANAN,131
1311105,SOSIAL EKONOMI PERIKANAN,131
1311113,AGROTEKNOLOGI,131
1311121,SOSIAL EKONOMI PERTANIAN (AGRIBISNIS),131
1311136,TEKNOLOGI HASIL PERTANIAN,131
1311144,KEHUTANAN,131
1311152,TEKNIK SIPIL,131
1311167,TEKNIK KIMIA,131
1311175,TEKNIK MESIN,131
1311183,TEKNIK ELEKTRO,131
1311191,PEND. DOKTER ,131
1311202,ILMU KEPERAWATAN ,131
1311217,PEND. MATEMATIKA,131
1311225,PEND. BIOLOGI,131
1311233,PEND. FISIKA,131
1311241,PEND. KIMIA,131
1311256,TEKNIK LINGKUNGAN,131
1311264,TEKNIK ARSITEK,131
1311272,SISTEM INFORMASI,131
1311287,TEKNIK INFORMATIKA,131
1311295,TEKNOLOGI INDUSTRI PERTANIAN,131
1311306,STATISTIKA,131
1321011,ILMU PETERNAKAN,132
1321026,MATEMATIKA,132
1321034,SISTEM INFORMASI,132
1321042,TEKNIK ELEKTRO,132
1321057,TEKNIK INDUSTRI,132
1321065,TEKNIK INFORMATIKA,132
1321081,PENDIDIKAN MATEMATIKA,132
1321096,PENDIDIKAN KIMIA,132
1321107,ILMU PERTANIAN (AGROTEKNOLOGI),132
1321115,GIZI,132
1331013,TEKNIK ELEKTRO,133
1331021,TEKNIK INFORMATIKA,133
1331036,ILMU KELAUTAN,133
1331044,MANAJEMEN SUMBERDAYA PERAIRAN,133
1331052,PENDIDIKAN MATEMATIKA,133
1331067,PENDIDIKAN BIOLOGI,133
1331075,PENDIDIKAN KIMIA,133
1331083,BUDI DAYA PERAIRAN,133
1331091,TEKNOLOGI HASIL PERIKANAN,133
1331102,SOSIAL EKONOMI PERIKANAN,133
1331117,TEKNIK PERKAPALAN,133
1411017,AGRIBISNIS,141
1411025,AGROEKOTEKNOLOGI,141
1411033,PENDIDIKAN DOKTER,141
